Name Angebot,Ansprechpartner,Branche,Initiative,Interesse/ Kategorie,Leuchtturmthema 2026,"Merchartikel, Infoblatt, Websitelink?",Um was geht´s?
Media Insights,"Magnus Gebauer, Jacqueline Hoffmann","Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MNB,"Kontakte & PR & Marketing, Veranstaltung & Event",,https://mediennetzwerk-bayern.de/unsere-event-formate/,"Bei unserer „digital only“-Reihe dreht sich in jeder Ausgabe alles um eine konkrete Herausforderung oder einen aktuellen Trend für einen Medien-Teilbereich. Experten geben einen Überblick über die aktuellsten Entwicklungen, teilen ihre Lösungsansätze und Best Cases und beantworten live Fragen aus dem Publikum. Dieses Format ist auch etwas für sehr volle Terminkalender: Input & Austausch finden in einer knackigen Stunde statt."
Connect & Act,"Magnus Gebauer, Jacqueline Hoffmann","Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MNB,"Coaching & Mentoring, Kontakte & PR & Marketing, Veranstaltung & Event",,https://mediennetzwerk-bayern.de/unsere-event-formate/,"Mehrere Stunden Zeit, um sich mit einer bestimmten Herausforderung, z.B. die Barrierefreiheit in Medienhäusern, zu beschäftigen: Bei unserem Ideathon Connect & Act teilen kreative und innovative Köpfe ihre Herausforderungen in der eigenen Arbeitswelt und arbeiten anschließend zusammen in Workshops an konkreten Lösungswegen. Unser Ideathon bringt verschiedene (Medien-)Branchen zusammen, um mit innovativen Ideen gemeinsame Herausforderungen anzugehen."
Media Date,"Magnus Gebauer, Jacqueline Hoffmann","Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MNB,"Kontakte & PR & Marketing, Veranstaltung & Event",,https://mediennetzwerk-bayern.de/unsere-event-formate/,"Das Media Date ist eine offene Abend- oder Frühstücks-Veranstaltung zu aktuellen Trends und ihrer Bedeutung für die Medienbranche. Mit dieser Veranstaltungsreihe bringen wir Medienschaffende aus bestimmten Branchen-Teilbereichen miteinander oder mit Vertretern anderer Branchen zusammen, um mögliche Synergien aufzuzeigen. Nach kurzen inhaltlichen Impulsen liegt ein besonderer Fokus auf dem anschließenden Austausch der Teilnehmer und Speaker bei Snacks und Getränken."
Netzwerkwissen,"Magnus Gebauer, Jacqueline Hoffmann","Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MNB,Trends & Studien & Reports,,https://mediennetzwerk-bayern.de/blog/,Unsere digitalen Wissensbeiträge “Netzwerkwissen” dienen der Vermittlung von Wissen zu aktuellen Trendthemen mit Relevanz für die bayerische Medienbranche. Die Veröffentlichung findet auf unserem Blog statt
Media Innovation Traineeship,"Vien-Ha, Phil","Audio, Journalismus",MLB,"Coaching & Mentoring, Förderprogramme, Kontakte & PR & Marketing",,https://www.media-lab.de/de/angebote/media-innovation-traineeship/,"Pro Runde werden fünf junge Talente am Media Lab Bayern (Standort Ansbach) in einem 12-monatigen Programm - bestehend aus Intensiv-Workshops, Mentoring und Einzelcoachings - in Innovationsmethoden und agilen Arbeitsmethoden ausgebildet. Den Großteil ihrer Arbeitszeit verbringen die Trainees in innovativen Praxisprojekten von beteiligten Medienpartnern in ganz Bayern und können hier das erworbene Wissen direkt anwenden. Jede:r Trainee durchläuft dabei zwei Praxisstationen à 6 Monaten bei zwei verschiedenen Praxispartnern. Medienpartner aus Verlagswesen und Lokalfunk können sich aus ganz Bayern mit Praxisprojekten auf das Programm bewerben. "
Förderung von Abschlussarbeiten,Vien-Ha,"Audio, Journalismus",MLB,"Coaching & Mentoring, Förderprogramme",,https://www.media-lab.de/de/angebote/abschlussarbeitsf%C3%B6rderung/,"Das Media Lab Bayern (am Standort Ansbach) fördert Studierende für 3-6 Monate finanziell, während ihrer Abschlussarbeit, wenn die Abschlussarbeit ein zukunftsrelevantes Projekt oder eine zukunftsrelevante Forschung für die Medienbranche (Fokus: Medienhäuser und Journalismus) behandelt. Darüber hinaus erhalten die Stipendiat:innen Mentoring durch das Media Lab Bayern Team und werden in der Media Lab Bayern Community sowie in die bayerische Medienbranche vernetzt. Hier geht´s zur Bewerbung."
Media Future Talks,"Sebastian Frost, Svenja Weiß","Audio, Games & XR, Journalismus, PR & Marketing, Start-up Branche",MLB,"Kontakte & PR & Marketing, Veranstaltung & Event",,https://www.media-lab.de/de/events/media-future-talks-2024/,"Das Media Lab Bayern (am Standort Ansbach) bietet zweimal pro Semester (viermal pro Jahr) das hybride (kostenfreie) Input- und Vernetzungsformat “Media Future Talks” an. Ziel ist es ein Thema (z. B. “KI im Journalismus”, “Klima und Medien”) mithilfe einer diversen Speaker:innen-Auswahl aus unterschiedlichen Blickwinkeln zu beleuchten und in anschließenden Q&A-Runden zu vertiefen. Die Teilnahme ist sowohl vor Ort in Ansbach als auch online möglich. Die Events richten sich sowohl an die Ansbacher “Young Talent Community” als auch an alle am Austausch interessierten Personen aus den Bereichen Medien und Zukunftstechnologien."
Future Skills Workshops,"Sebastian Frost, Vien-Ha","Audio, Games & XR, Journalismus, PR & Marketing",MLB,"Aus- und Weiterbildung, Coaching & Mentoring",,https://www.media-lab.de/de/angebote/workshops/,"Das Media Lab Bayern (am Standort Ansbach) bietet in regelmäßigen Abständen (kostenfrei) vertiefende Workshops rund um die Themenbereiche “Future Skills” und “Future Trends” an. Die Workshops finden je nach Thema z. T. als Präsenzworkshop in Ansbach, z. T. aber auch hybrid statt. Zielgruppe sind vor allem Studierende, Berufseinsteiger:innen und junge Talente.  "
"Expert Pool (R&D Fellowship) ",Pia Lexa,"Audio, Games & XR, Journalismus, PR & Marketing, Start-up Branche",MLB,"Coaching & Mentoring, Förderprogramme",,https://www.media-lab.de/de/angebote/r-d-fellowship/,"Arbeite an einer Business-Strategie für ein Medienhaus

Führungskräfte aus Medienhäusern benötigen Unterstützung bei der Entwicklung und Vertestung ihrer Bereichsstrategien. Hilf dabei, neue Lösungsansätze für strategische Herausforderungen zu recherchieren, ein Pilotprojekt durchzuführen und das Vorhaben im Unternehmen zu verankern.
Du möchtest bei zukünftigen Projekten mitwirken?
Dauer: 3 Monate
Förderung: 10.000 EUR
Unser Expert Pool ist dauerhaft geöffnet."
Media Startup Fellowship,Pia Lexa,"Audio, Games & XR, Journalismus, PR & Marketing, Start-up Branche",MLB,"Coaching & Mentoring, Förderprogramme",,https://www.media-lab.de/de/angebote/media-startup-fellowship/,"Die Förderung für dein Startup!
Egal, ob ihr noch in der Ideenphase seid oder euch bereits in der Early Stage mit Prototypen und MVP befindet: Wir unterstützen und fördern euch darin, innovative, digitale Medienprodukte zu entwickeln."
Media Scale-up Fellowship,Pia Lexa,"Audio, Games & XR, Journalismus, PR & Marketing, Start-up Branche",MLB,"Coaching & Mentoring, Förderprogramme",,https://www.media-lab.de/de/angebote/media-scale-up-fellowship/,"Die Förderung für dein Wachstum!
Euer Startup hat bereits erste Umsätze und Traction am Markt und ihr wollt nun wachsen? Dann unterstützen wir euch mit dem Media Scale-up Fellowship. Wir helfen euch bei der Entwicklung der passenden Wachstumsstrategie und zeigen euch, wie ihr euer Startup aufs nächste Level bringt."
Media Co-operation Fellowship,Pia Lexa,"Audio, Games & XR, Journalismus, PR & Marketing, Start-up Branche",MLB,"Coaching & Mentoring, Förderprogramme",,,"Die Förderung von Kooperationen zwischen Medienhäusern und Startups! Alumni und Fellows des Media Startup Fellowship können für Pilotprojekte, mit Medienhäusern aus Bayern finanziellen und inhaltlichen Support erhalten. Wir begleiten euch insbesondere bei Projekten, die durch Co-Creation oder Vertriebsparterschaften einen nachhaltigen Mehrwert für euer Startup bringen. "
Media Leadership Masterclass,Pia Lexa,"Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing",MLB,"Aus- und Weiterbildung, Coaching & Mentoring",,https://www.media-lab.de/de/angebote/media-leadership-masterclass/,"Die Förderung für Führungskräfte in regionalen Medien
Change Management, digitale Transformation oder die Stärkung der Wettbewerbsfähigkeit – dieses berufsbegleitende Upskilling hilft Führungskräften diese und weitere Herausforderungen in kleinen und mittelgroßen Medienunternehmen zu erkennen, zu lösen und in zukunftsfähige Modelle zu überführen. Erweitere deine Kenntnisse mit diesem neuen Upskilling-Programm."
Media Lab Innovation Festival,Alexander Rühl,"Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MLB,Veranstaltung & Event,,https://www.media-lab.de/de/events/media-lab-innovation-festival-2025/,"Bist du bereit, die Medienwelt aktiv mitzugestalten, statt Trends hinterherzurennen? Unser Festival bietet dir zwei Tage voller intensiver Medien-Workshops, die dich mit den neuesten Tools und Techniken ausstatten, um die Medienlandschaft von morgen zu formen.

Wir sind nicht einfach yet another conference!
Das bedeutet: Praktische und tiefgehende Medien-Workshops statt Talks, wertvoller Input statt Frontalunterricht und Hilfsmittel zu konkreten Zukunftsthemen statt Branchen-Bla-Bla!"
Media Lab KI Report,Alexander Rühl,"Audio, Games & XR, Journalismus, PR & Marketing, Start-up Branche",MLB,Trends & Studien & Reports,,https://www.media-lab.de/de/research/ki-report-2024/,"Der KI-Hype ist vorbei, jetzt beginnt die Arbeit.
Künstliche Intelligenz ist nur eine Technologie – was wir damit machen bestimmt, welchen Einfluss sie auf die Medienwelt haben wird! Zwei Jahre nach dem Release von ChatGPT zeigen wir auf 25 Seiten 16 neue Cases, die genau das angehen. Hier gibt es Tools, die schon heute funktionieren!"
Media Lab State of Innovation Report,Alexander Rühl,"Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MLB,Trends & Studien & Reports,,https://www.media-lab.de/de/research/state-of-innovation-report/,"Lab-Report: So steht es um die Medieninnovation
Das ist der Stand der Innovation in deutschen Medienhäusern: Dieser Report des Media Lab Bayern zeigt, wie Führungskräfte und Mitarbeitende auf Innovation blicken, was funktioniert – und was nicht!"
Media Lab Crystal Ball Magazin,Alexander Rühl,"Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MLB,Trends & Studien & Reports,,https://www.media-lab.de/de/research/crystal-ball-magazin-2024/,"Wir müssen uns unsere Zukunft bauen!
Niemand kann die Zukunft vorhersagen – auch das Media Lab Bayern nicht. Trotzdem kann man mögliche Zukünfte mitgestalten, wenn man sich rechtzeitig mit zukunftsträchtigen Themen beschäftigt. Genau das tun die Fellows in unseren Research-Fellowships. Die Ergebnisse haben wir im Crystal Ball Magazin zusammengefasst – und unsere Kristallkugel bekommst du hier!"
Future of News Fellowship,Pia Lexa,"Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MLB,"Coaching & Mentoring, Förderprogramme",,https://www.media-lab.de/de/angebote/future-of-news-fellowship/,"Trendthemen der Branche + Deine Research = Future of News!
Die Herausforderungen der Medienbranche sind vielfältig, und nicht alle können allein mit Technologie gelöst werden. Deshalb gibt es das Future of News Fellowship: Wir brauchen deine Expertise, um die relevantesten Probleme der Branche aus verschiedenen Perspektiven anzugehen!"
Expert Pool (Media Tech Lab),Pia Lexa,"Audio, Games & XR, Journalismus, PR & Marketing",MLB,"Coaching & Mentoring, Förderprogramme",,https://www.media-lab.de/de/angebote/media-tech-lab/,"Arbeite an einer Tech-Strategie für ein Medienhaus

Führungskräfte aus Medienhäusern benötigen Unterstützung bei der Entwicklung und Vertestung ihrer Bereichsstrategien. Hilf dabei, neue Lösungsansätze für strategische Herausforderungen zu recherchieren, ein Pilotprojekt durchzuführen und das Vorhaben im Unternehmen zu verankern.
Du möchtest bei zukünftigen Projekten mitwirken?
Dauer: 3 Monate
Förderung: 10.000 EUR
Unser Expert Pool ist dauerhaft geöffnet."
🪦 (Gibt’s nicht mehr) Media Lab Innovators Database,Alexander Rühl,"Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MLB,Kontakte & PR & Marketing,,https://media-innovators.de/,"Finde echte Expert:innen für Medien-Innovation, die dir Tipps zu deinem Projekt geben oder gleich mit anpacken können.

Die Media Innovators Datenbank macht Medien-Pioniere sichtbar. Alle Profile sind von uns ausgewählte Expert:innen, deren Skills und Innovationskraft wir garantieren. So findest du immer die richtige Person, die dein Innovationsprojekt erfolgreich macht. "
Medien-Förderung.de,Alexander Rühl,"Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MLB,Kontakte & PR & Marketing,,https://www.medien-foerderung.de/,"Finde das passende Förderangebot für dein Medienprojekt und vereinfache deine Suche nach der richtigen Finanzierung.
Das Darlehen, ein Förderstipendium oder in das Acceleratorprogramm? Es gibt unheimlich viele Förderangebote und der Überblick ist unmöglich. Wir machen's Medienschaffenden leicht."
Networking-Event IBC,Nina Labaute,Audio,XPLR,Veranstaltung & Event,,,Networking-Abend bei der International Broadcasting Convention in Amsterdam
SXSW Breakfast + Panel,Nina Labaute,"Audio, Games & XR, Start-up Branche",XPLR,Veranstaltung & Event,,,2025 Panel zur Regulierung von AI und ggf. zu AI im Film; Networking Breakfast
Beat Bayerns,Nina Labaute,"Audio, PR & Marketing",XPLR,"Coaching & Mentoring, Kontakte & PR & Marketing, Veranstaltung & Event",,,Projekt aus dem Cultural Marketing: XPLR: MEDIA sucht den Beat Bayerns und schickt 5 Teams ins Rennen. Eine Jury kürt den besten Beat
"Reports zu XR, Radio, Podcast und Co.",Nina Labaute,"Audio, Games & XR, Journalismus, PR & Marketing, Start-up Branche",XPLR,Trends & Studien & Reports,,https://www.xplr-media.com/de/reports.html,"In seinen Reports greift XPLR: MEDIA wichtige Trends der Medienbranche auf und nimmt sie in Expert:inneninterviews, Best Cases und Listicles genauer unter die Lupe."
"Studien zu KI, Web3 und Erlösmodellen",Nina Labaute,"Audio, Games & XR, Journalismus, PR & Marketing, Start-up Branche",XPLR,Trends & Studien & Reports,,,"Welche Chancen und Risiken ergeben sich durch  Technologien wie KI und Web3 für die Medienbranche und welche Erlösmodelle führen die Branche in die Zukunft? Antworten gibts in den Studien von XPLR: MEDIA. "
"Beteiligung an Festival der Zukunft mit XR Expo, Munich Beyond (XR-Festival in Kooperation mit dem Filmfest München), New Realities Award etc. ",,"Games & XR, PR & Marketing, Start-up Branche",XRH,Veranstaltung & Event,,,"In der XR Area kuratieren wir XR Projekte mit Fokus auf Kunst, Storytelling und Design; beim New Realities Wettbewerb können sich Start ups und einzelne Kreative bewerben mit Ideen, Konzepten und Projekten"
Re:publica Stand,Nina Labaute,"Audio, Games & XR, Journalismus, PR & Marketing, Start-up Branche",XPLR,"Kontakte & PR & Marketing, Veranstaltung & Event",,,"Am Stand von XPLR: MEDIA in Bavaria bei der re:publica in Berlin lassen sich jedes Jahr neue Innovationen aus der bayerischen Medienbranche entdecken. Mal geht’s um KI, mal um XR, aber immer um wichtige Trends für Medienschaffende. Am Stand stellen immer wieder Partner aus - wer Interesse und das passende innovative Projekt hat, kann sich bei XPLR: MEDIA melden."
"New Realities Podcast mit 1E9 ",,"Games & XR, Journalismus, PR & Marketing, Start-up Branche",XRH,Trends & Studien & Reports,,,Deep Dive in Projekte auch aus verschiedenen Teilmärkten der KuK
"XR STAGE ",,"Games & XR, Museen, Start-up Branche",XRH,"Aus- und Weiterbildung, Coaching & Mentoring, Förderprogramme, Kontakte & PR & Marketing, Veranstaltung & Event",,,"Workshops, um die individuellen Ausdruckmöglichkeiten zu erweitern, nationale und internationale Netzwerktreffen zur Erweiteriung der Reichweite und virtuelle Räume für Kreative, um Arbeiten neu auszustellen - gefördert vom Bayerischen Staatsministerium für Wissenschaft und Kunst "
"XR Experiences ",,"Ausbildungsbtriebe, Berufsgenossenschaften, Games & XR, Schulen, Start-up Branche, politische Entscheider",XRH,"Aus- und Weiterbildung, Coaching & Mentoring, Veranstaltung & Event",,,"Besuche im XR HUB sind möglich, um einen Einstieg und ein Gefühl für XR Experiences zu bekommen, das muss man ausprobieren! "
Support  XR-Branche,,"Games & XR, Kunstschaffende, Start-up Branche",XRH,"Coaching & Mentoring, Kontakte & PR & Marketing, Veranstaltung & Event",,,"Unterstützung bei der Vermittlung von Partnern, Ausstellungsmöglichkeiten und Eventauftritten "
2025: ggf Reise nach Mailand ins MEET - Center for Digital Arts (Finanzierung noch nicht geklärt),,Games & XR,XRH,,,,"Einladung vom MEET, Werke aus Bayern zu präsentieren "
Call for Participation MEDIENTAGE MÜNCHEN,Susanne Schlüter,"Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MTM,"Kontakte & PR & Marketing, Veranstaltung & Event",,"CFP wird voraussichtl. wieder im März starten, Seite wird gebaut, dann liefern wir Link nach","Wer ein bestimmtes Thema im Programm der MTM vermisst oder glaubt, selbst auf die Bühne zu gehören, kann sich im Rahmen des Call for Participation bei uns bewerben und einen Themenvorschlag, eine:n bestimmte:n Speaker:in oder sich selbst vorschlagen. "
MEDIENTAGE MÜNCHEN - KONFERENZ(EN),Susanne Schlüter,"Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MTM,"Kontakte & PR & Marketing, Trends & Studien & Reports, Veranstaltung & Event",,https://medientage.de/,Bei den verschiedenen Konferenzen und Veranstaltungsformaten der MEDIENTAGE MÜNCHEN kann man neue Impulse für die eigene Arbeit in den Medien erhalten und das bereits vorhandene Branchenwissen vertiefen.
Ausbau des eigenen Branchen-Netzwerks,"Susanne Schlüter, Hans","Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MTM,"Kontakte & PR & Marketing, Veranstaltung & Event",,https://medientage.de/,Auf den vielfältigen Veranstaltungen der http://Medien.Bayern können Interessierte sich mit Expert:innen austauschen und vernetzen.
Media Future Camp,"Sebastian Frost, Svenja Weiß","Audio, Games & XR, Journalismus, PR & Marketing, Start-up Branche",MLB,"Aus- und Weiterbildung, Coaching & Mentoring, Kontakte & PR & Marketing, Veranstaltung & Event",,https://www.media-lab.de/de/events/media-future-camp-2024/,"Im Media Future Camp erwartet dich ein intensiver Vier-Tages-Workshop, der dir “Futures Thinking” näher bringt und gemeinsam spannende Szenarien für eine wünschenswerte Medien- und Journalismus-Zukunft erarbeitet. Der Workshop bietet eine abwechslungsreiche Mischung aus Theorieinputs, praktischen Übungen und Reflexionsphasen für einen umfassenden Lernprozess.

Wir starten mit einem Nachmittag voll mit Kennenlernen und Teambuilding, bevor du dann am zweiten Tag Trends und mögliche Zukünfte durch Methoden wie das Polak Game und das Futures Wheel erforschst.

Der dritte Tag widmet sich der Erstellung von Artefakten, Szenarien und Visionen, einschließlich einer geführten Meditation und Zukunftsreise.

Am letzten Tag entwickelst du dann journalistische Formate, die über die erarbeiteten Zukunftsszenarien berichten. Abschließend werden die Ergebnisse präsentiert und diskutiert."
MEDIENTAGE MÜNCHEN  - Expo und Sponsoring,"Hans, Katrin Alff, Svenja Dall'Armi","AI, Audio, Games & XR, Infrastruktur, Journalismus, PR & Marketing, Produktion, Publishing, Social Media, Streaming, TV",MTM,"Kontakte & PR & Marketing, Veranstaltung & Event",,https://medientage.de/partner/partner-oder-aussteller-werden/,"Im direkten Umfeld der Konferenzbühnen können Aussteller und Sponsoren aus den Bereichen Medien, Kommunikation und angrenzenden Branchen ihre Produkte, Projekte und Marken zielgerichtet den Teilnehmenden präsentieren, Netzwerke pflegen und Kundenkontakte erweitern. "
Nacht der Medien - Gastgeber werden,Katrin Alff,"AI, Audio, Games & XR, Infrastruktur, Journalismus, PR & Marketing, Produktion, Publishing, Social Media, Streaming, TV",MTM,"Kontakte & PR & Marketing, Veranstaltung & Event",,https://medientage.de/partner/partner-oder-aussteller-werden/#ndm,"Hier können sich Unternehmen aus den Bereichen Medien, Kommunikation und angrenzenden Branchen als Gastgeber eines renommierten Abendevents präsentieren, neue Marken in einem attraktiven Umfeld vorstellen und Gäste zu einem exklusiven Abend in München einladen."
,,,,,,,
,,,,,,,
,,,,,,,
GG Bavaria,"Anja Kr., Robin",Games & XR,GB,"Kontakte & PR & Marketing, Veranstaltung & Event",,https://ggbavaria.de/,"Große Publikums-Messe für Gamingbegeisterte in München - 29.-30.3.25 
Der 28. März steht im Zeichen des Business und bietet Fachbesuchenden die Gelegenheit neue Impulse für die Games-Branche zu gewinnen und wertvolle Kontakte zu knüpfen"
Level Up,"Alexandra Palme, Robin","Games & XR, Start-up Branche",GB,Coaching & Mentoring,,https://www.games-bavaria.com/level-up-der-games-bavaria-accelerator/,"- sechsmonatiges Accelerator-Programm
 unter der Schirmherrschaft von Staatsminister Dr. Fabian Mehring  
- begleitet Game-Entwickler:innen und Studios in Bayern bei der Entwicklung ihres Prototypen und ihres Unternehmens 
- Kombination aus praktischen 
Workshops, gezielten Coachings und 
Peer-to-Peer-Austausch"
DIE GAMEREI,"Robin, Oliver Güttler","Games & XR, Start-up Branche",GB,Kontakte & PR & Marketing,,https://www.games-bavaria.com/die-gamerei/,"Co-Working und Büroräume in einer großen Games-Community mieten
Veranstaltungsort für Community-Events "
Blauer Panther,Marie Praetorius,"Produktion, Streaming, TV",BP,"Kontakte & PR & Marketing, Veranstaltung & Event",,,Jährliche Auszeichung der besten deutschsprachigen Produktionen im Bewegtbildbereich; großes Networking-Event durch Zusammenlegung der Aftershowparty mit der Nacht der Medien für die ganze Medienbranche
Blauer Panther - TV & Streaming Tipps,Marie Praetorius,"Produktion, Streaming, TV",BP,Kontakte & PR & Marketing,,https://blauerpanther.com/blog/,Monatliche TV & Streamingtipps (deutsche Produktionen)
"Beteiligung an Branchenevents (Filmfest, Dok.fest etc.)",Marie Praetorius,"Produktion, Streaming, TV",BP,"Kontakte & PR & Marketing, Veranstaltung & Event",,,"Veranstaltung von Panels zu relevanten Themen, z.B. KI in der Filmproduktion"
